timestamp_utc,temperature_c,throttled
2026-09-10T13:12:16Z,38.459,0x0
2026-09-10T13:12:17Z,38.459,0x0
2026-09-10T13:12:18Z,37.485,0x0
2026-09-10T13:12:19Z,37.972,0x0
2026-09-10T13:12:20Z,36.998,0x0
2026-09-10T13:12:21Z,37.972,0x0
2026-09-10T13:12:22Z,37.972,0x0
2026-09-10T13:12:23Z,38.459,0x0
2026-09-10T13:12:24Z,37.972,0x0
2026-09-10T13:12:25Z,39.92,0x0
2026-09-10T13:12:26Z,38.459,0x0
2026-09-10T13:12:27Z,38.946,0x0
2026-09-10T13:12:28Z,39.92,0x0
2026-09-10T13:12:29Z,40.407,0x0
2026-09-10T13:12:30Z,40.407,0x0
2026-09-10T13:12:31Z,39.92,0x0
2026-09-10T13:12:32Z,39.433,0x0
2026-09-10T13:12:33Z,39.433,0x0
2026-09-10T13:12:34Z,39.92,0x0
2026-09-10T13:12:35Z,38.946,0x0
2026-09-10T13:12:36Z,37.485,0x0
2026-09-10T13:12:37Z,37.485,0x0
2026-09-10T13:12:38Z,38.459,0x0
2026-09-10T13:12:39Z,37.485,0x0
2026-09-10T13:12:40Z,37.485,0x0
2026-09-10T13:12:41Z,38.946,0x0
2026-09-10T13:12:42Z,37.972,0x0
2026-09-10T13:12:43Z,37.485,0x0
2026-09-10T13:12:44Z,38.459,0x0
2026-09-10T13:12:45Z,37.972,0x0
2026-09-10T13:12:46Z,38.459,0x0
2026-09-10T13:12:47Z,37.485,0x0
2026-09-10T13:12:48Z,37.485,0x0
2026-09-10T13:12:49Z,36.998,0x0
2026-09-10T13:12:50Z,38.459,0x0
2026-09-10T13:12:51Z,38.459,0x0
2026-09-10T13:12:52Z,38.946,0x0
2026-09-10T13:12:53Z,37.485,0x0
2026-09-10T13:12:54Z,37.972,0x0
2026-09-10T13:12:55Z,38.946,0x0
2026-09-10T13:12:56Z,37.485,0x0
2026-09-10T13:12:57Z,38.459,0x0
